LOCATION,Pays_code_iso3,Médecins pour 10k habitants,Personnel infirmier densité,Personnel de santé total,Grossesse adolescentes 15-19,Taux de suicides,Dépenses santé catastrophiques 10%,Dépenses santé catastrophiques 25%,Grossesse adolescentes 10-14,Couverture planning familial,Prévalence hépatite B,Décès intoxications,Espérance de vie totale,Espérance de vie femmes,Espérance de vie hommes,Pharmaciens pour 10k,Prévalence tabagisme adultes,Accès eau potable,Accès assainissement amélioré,Mortalité maternelle,Décès liés eau/assainissement,Prévalence VIH,Incidence paludisme,Mortalité maladies non transmissibles,Accidents de la route,Mortalité enfants <5 ans,Couverture vaccin rougeole 2,Décès pollution atmosphérique,Taux mortalité brute,Indice couverture santé,Capacité réponse sanitaire,Couverture vaccin pneumocoque,Accès services de santé,Incidence tuberculose,Traitement maladies tropicales,Taux natalité total,Natalité femmes,Natalité hommes,Aide santé internationale,Vaccination HPV filles,Traitement troubles alcool,Infections résistantes MRSA,Infections résistantes E.coli,Traitement dépendances drogues,Accès médicaments essentiels
Croatia,HRV,9.46,79.99,39.09,6.7,15.7,,,0.0,,0.1,0.3,66.8,68.5,65.1,8.78,37.0,100.0,93.0,3.5,2.7,<0.1,,15.9,10.8,4.6,90.0,31.0,2.8,≥80 ,75,90.0,3.0,8.1,8,76.9,80.0,73.8,,55.0,,53.8,16.4,23.5,
Cuba,CUB,18.42,76.03,95.42,48.6,13.8,,,1.3,86.9,0.0,0.1,64.6,66.0,63.4,,17.4,100.0,99.0,7.9,9.7,0.18,,17.6,5.6,8.3,99.0,41.0,4.2,≥80 ,90,,35.0,5.4,124,73.7,76.5,71.1,0.43,,,,,,
Cyprus,CYP,8.19,38.94,35.56,7.9,3.0,14.74,1.59,0.0,,0.3,0.3,70.7,71.1,70.3,7.27,35.6,100.0,95.0,5.5,1.6,No data,,8.5,5.2,3.5,80.0,16.0,1.9,≥80 ,61,74.0,14.0,3.9,2,81.9,84.0,79.9,,92.0,,55.9,40.5,,
Czechia,CZE,7.39,95.3,43.52,7.2,13.3,4.64,0.83,0.1,,0.1,0.6,66.7,68.3,65.0,7.18,29.9,100.0,94.0,4.8,4.1,<0.1,,14.2,13.7,2.6,90.0,33.0,1.3,≥80 ,77,,3.0,5.2,13,77.1,80.3,74.0,,72.0,,7.6,14.4,14.8,
Democratic People's Republic of Korea,PRK,2.17,43.82,36.28,,9.3,,,,89.6,0.2,1.3,64.7,66.4,63.2,3.91,16.5,100.0,16.0,513.0,4.1,No data,0.31,23.7,4.8,18.0,16.0,213.0,9.6,68,59,,67.0,,5 301 031,72.6,75.6,69.8,0.2,,,,,,
Democratic Republic of the Congo,,0.04,11.68,2.08,109.0,8.8,,,3.4,33.0,3.3,1.3,53.2,54.3,52.2,0.09,12.2,85.0,60.0,316.0,52.3,0.17,313.27,25.1,2.0,73.2,18.0,212.0,25.3,42,37,59.0,427.0,16.3,56 981 384,61.6,63.9,59.4,6.52,,,88.5,72.5,,
Denmark,DNK,7.18,121.86,44.98,1.2,10.5,,,0.0,,0.7,0.0,70.1,70.4,69.7,5.81,16.2,96.0,97.0,3.6,4.1,<0.01,,10.7,10.0,3.4,93.0,13.0,1.8,≥80 ,97,97.0,4.0,2.3,0,81.2,82.9,79.5,,80.0,,1.9,7.3,,
Djibouti,DJI,,1.94,2.11,,8.0,1.47,0.26,,,0.3,1.5,57.0,57.7,56.3,,,,72.0,218.0,37.6,0.29,45.04,20.6,0.4,50.4,64.0,181.0,28.2,44,30,72.0,162.0,23.3,110 561,64.9,66.7,63.0,14.86,,,,,,
Dominica,DMA,1.17,67.6,11.58,,,,,,,0.2,,,,,,,100.0,56.0,16.0,,No data,,,7.0,35.5,87.0,,30.8,49,71,,36.0,11.0,419,,,,0.68,65.0,,,,,
Dominican Republic,DOM,2.69,20.6,24.26,77.1,4.2,8.17,0.94,3.6,77.4,0.1,0.3,63.6,65.5,61.8,0.19,10.5,99.0,90.0,42.0,5.8,0.36,0.04,17.4,5.2,31.4,70.0,42.0,21.7,77,60,86.0,124.0,27.4,2 677 790,73.3,76.8,70.2,0.35,66.0,,,,,
