location,Anxiety_disorders,Attention_deficit_hyperactivity_disorder,Autism_spectrum_disorders,Bipolar_disorder,Conduct_disorder,Depressive_disorders,Eating_disorders,Idiopathic_developmental_intellectual_disability,Mental_disorders,Other_mental_disorders,Schizophrenia
Montenegro,792.3154359393831,24.84822224197797,129.91685636456197,99.67906332996556,69.35905988605624,421.1926351254878,46.16260685256864,54.750381105493865,1940.0591260566075,111.39685453857804,190.43801067253403
Morocco,550.5731995507743,46.70519007875479,129.77323566784673,139.37108493500477,53.40168139956886,848.4196469191318,46.98086740650481,26.78063675652058,2159.622220198443,111.90086280443244,205.71581467990447
Mozambique,714.2579255233734,50.12956161345505,142.67922380270545,94.2260104309222,69.56267940551386,671.0636326448691,21.34364341783085,10.270339906369829,2054.1895267990485,108.75662380646918,171.89988624753897
Myanmar,305.38359213933256,25.08453163011724,112.89539770929392,66.7898290551352,50.20981839291687,526.8037380048629,27.516747440399143,39.776344386099694,1449.1105164684388,111.02520496301425,183.62531274726544
Namibia,576.2595990838287,42.966817210411854,131.03823482065565,97.38546124959107,71.09935751528515,528.7505486341473,38.66701225363487,12.842998568588142,1786.1903451213443,109.8632968605218,177.3170189246788
Nauru,500.5948020614371,37.56353947061926,107.4834681237865,79.2522341980624,57.99371512008669,578.687538423445,34.238815484456914,29.24370216631044,1725.1814268256626,110.80351419876848,189.32009757869093
Nepal,490.5408165951146,25.77950730198735,69.3421599443309,77.18395503213341,55.00276877078356,571.4239391625401,33.307234462787264,68.06248688809733,1717.2473132605826,110.4349007870526,216.1695443157552
Netherlands,1205.149582838192,61.15231785382007,169.463390344253,154.88742006354428,69.66647320871313,1149.8639059764623,100.6427411774558,33.4081425395294,3271.434425590815,120.09574174639216,207.1047098424513
New Zealand,1082.43733902701,64.0266941594917,179.71377356675382,222.02588998079963,77.4883314991785,611.1016526885767,111.1420052101903,64.99976585517142,2736.8999126414437,116.34998714301868,207.61447351125472
Nicaragua,659.943433296514,47.80448847033287,128.6951272310623,158.3838061038232,73.62339486831924,588.0412673547189,53.874044643225815,19.905083035379384,2048.0221950016803,109.51054835945412,208.2410016388514
Niger,693.0957757768618,38.43870728228498,124.7502306352978,97.0996652378171,68.74726926414927,668.0642539626319,21.542542738196836,16.470962393005717,2023.390817187248,111.12208551971906,184.05932437728225
Nigeria,695.369913292207,38.44711527298619,132.36958965013562,97.67743784434442,74.24609197285666,754.7596344192971,33.929643716856155,18.96919652558449,2140.863592742932,103.0762616670303,192.01870838163336
Niue,500.96842006594267,36.96079184653461,115.41528956756731,81.17583944591374,57.31199516057978,576.8150683541973,38.88312329574764,26.921748099906356,1750.219895290301,111.12652583418507,204.64109361972763
North Macedonia,672.4984844525824,24.78889589542945,119.18094484999824,100.22323921951455,68.96212159222142,405.2912480829065,43.34675027194047,53.87679091984504,1791.180955780462,111.35680416152252,191.655676334501
