LOCATION,Pays_code_iso3,Surpoids enfants <5 ans,Dépenses publiques santé,Retard croissance enfants,Espérance de vie totale,Taux mortalité brute,Médecins pour 10k habitants,Taux de suicides,Mortalité Maternelle à la naissance,Eating_disorders,Mental_disorders,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Fiji,FJI,7.3,10.33,7.2,65.5,14.9,1.17,8.3,30.0,37.06331706279619,1671.349718902989,5097.53106864695,5363.79026679243,5826.84814459328,6085.41979485376,5842.07344577597,4620.6457238014,4536.73312110335,5414.12092119088,5926.20586394763,6425.74151715712
Finland,FIN,4.7,14.82,1.7,81.5,1.3,9.68,14.6,8.0,127.93547843515366,1993.5314930459808,42560.3456767103,43451.2562442158,46085.0174739036,49654.2497035329,48358.1807773701,48828.6846862799,53099.1351400148,50440.560224974,52834.2916752703,53149.7671934051
France,FRA,,15.25,,81.9,2.7,6.94,16.6,7.0,113.42309884141628,2540.3178856912914,36702.4323733379,37024.2157133669,38687.1626407164,41418.1766484844,40408.2848574751,39169.8606000707,43725.0999521245,40988.6396406579,44700.1384177544,46103.0840855884
Gabon,GAB,6.1,9.59,13.7,65.1,16.8,0.18,7.3,233.0,45.01116009166179,2386.215806626195,7047.12654634355,6677.07003901644,6921.73373135624,7624.2775233771,7441.1786472281,6605.80346077565,8181.40914134656,8409.2074145028,7802.82433276138,8230.04311451151
Gambia,GMB,2.7,7.48,14.0,64.2,23.7,0.03,4.8,354.0,25.58950722214761,2078.288766106094,619.536364296461,650.056501323611,642.522641296331,696.219806960615,738.186751987483,720.335143352133,781.890925169531,836.244875868476,883.024111719809,871.340291776294
Georgia,GEO,4.1,10.54,4.7,71.2,5.3,7.74,5.1,20.0,40.66019213471651,1842.3951266544568,4086.6223465965,4143.40125686315,4418.75206546679,4804.0546040444,4741.2832715876,4300.85701291207,5083.60695484577,6729.84659930283,8283.66960652261,9241.49122313713
Germany,DEU,3.3,20.46,2.2,80.5,2.3,8.48,12.9,4.0,93.32539272937002,2269.27108898079,41929.7549110722,42948.9381932694,45553.9341495339,48916.1686612154,47656.199739747,47394.8734504469,52349.2459994422,50506.5179638543,54776.7668235491,56103.7323182554
Ghana,GHA,1.8,7.41,15.6,66.1,21.2,0.07,5.3,234.0,32.7120598874257,2141.565511566582,1722.77282833606,1912.47991339951,2012.28662641265,2195.32166016377,2186.65822682613,2195.45481659987,2445.18662529344,2229.89122647803,2383.90410483418,2390.77237652715
Greece,GRC,13.5,8.65,2.0,79.6,2.3,13.35,4.7,5.0,100.534977007951,2828.5983602593337,17980.7298238137,17919.2426377048,18631.9930129293,19873.4015238771,19335.3602002969,17886.733165236,20654.7001960815,20886.5243087629,23343.7103964562,24626.1481858973
Grenada,GRD,,6.28,,72.8,12.4,1.9,1.3,48.0,76.27953493562633,2255.788648337231,8694.12438005692,9221.23461079424,9751.42661155932,10083.021279225,10462.7929159533,8968.55890108484,9617.28902905373,10469.3867012856,11414.4781691181,11705.0902976658
